poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat
30,2018-12-06,2018-12-14,14,0.18933333333333333,0.568,1.5,0.152,0.392,0.024,1.75,1.0,1.5,1.3255813953488371,1.375,4,5,38,43,40,125,78,679.432,0.032,0.04,0.304,0.344,0.32,mainstream_all,19,2018,12,8,WP19
31,2018-12-14,2019-01-10,13,0.16981132075471697,0.5094339622641509,1.5933333333333335,0.1509433962264151,0.32075471698113206,0.03773584905660377,2.7142857142857144,1.5,0.0,1.8333333333333333,1.1764705882352942,7,4,2,12,17,53,25,757.5283018867924,0.1320754716981132,0.07547169811320754,0.03773584905660377,0.22641509433962265,0.32075471698113206,mainstream_all,19,2018,12,27,WP19
32,2019-01-10,2019-01-25,14,0.2240143369175627,0.6720430107526881,2.0864427860696515,0.1827956989247312,0.3817204301075269,0.10752688172043011,1.6415094339622642,4.085714285714285,0.8571428571428571,2.709090909090909,1.5121951219512195,53,35,7,55,82,186,134,685.9193548387096,0.2849462365591398,0.1881720430107527,0.03763440860215054,0.2956989247311828,0.44086021505376344,mainstream_all,19,2019,1,15,WP19
33,2019-01-25,2019-02-14,15,0.20588235294117646,0.6176470588235294,2.125514403292181,0.14215686274509803,0.4411764705882353,0.03431372549019608,2.7777777777777777,4.368421052631579,0.2857142857142857,2.203125,1.6311475409836065,63,19,7,64,122,204,162,675.3039215686274,0.3088235294117647,0.09313725490196079,0.03431372549019608,0.3137254901960784,0.5980392156862745,mainstream_all,19,2019,1,20,WP19
34,2019-02-14,2019-02-22,13,0.23634651600753293,0.7090395480225988,1.873015873015873,0.22033898305084745,0.4322033898305085,0.05649717514124294,2.5,3.0869565217391304,1.9069767441860466,1.694736842105263,1.3877551020408163,54,46,43,95,147,354,231,634.7316384180791,0.15254237288135594,0.12994350282485875,0.12146892655367232,0.268361581920904,0.4152542372881356,mainstream_all,19,2019,2,8,WP19
35,2019-02-22,2019-03-15,12,0.22338568935427572,0.6701570680628273,2.080623306233062,0.16753926701570682,0.45549738219895286,0.04712041884816754,2.6136363636363638,3.4705882352941178,0.625,2.0392156862745097,1.726027397260274,44,17,16,51,73,191,123,624.5287958115183,0.23036649214659685,0.08900523560209424,0.08376963350785341,0.2670157068062827,0.38219895287958117,mainstream_all,19,2019,2,21,WP19
36,2019-03-15,2019-03-22,13,0.196078431372549,0.5882352941176471,1.280473372781065,0.17647058823529413,0.39819004524886875,0.013574660633484163,1.2745098039215685,3.7777777777777777,0.7777777777777778,1.06,1.1858407079646018,51,18,27,50,113,221,169,662.4434389140272,0.23076923076923078,0.08144796380090498,0.12217194570135746,0.22624434389140272,0.5113122171945701,mainstream_all,19,2019,3,7,WP19
37,2019-03-22,2019-04-04,12,0.1616161616161616,0.48484848484848486,1.9429012345679013,0.06060606060606061,0.30303030303030304,0.12121212121212122,1.1666666666666667,4.3,1.5217391304347827,2.41025641025641,2.625,6,10,23,39,16,66,54,681.1818181818181,0.09090909090909091,0.15151515151515152,0.3484848484848485,0.5909090909090909,0.24242424242424243,mainstream_all,19,2019,3,13,WP19
38,2019-04-04,2019-04-18,12,0.21898355754857995,0.6569506726457399,1.885793172690763,0.17040358744394618,0.42376681614349776,0.06278026905829596,2.1052631578947367,3.347826086956522,0.9,1.6405228758169934,1.865979381443299,76,46,50,153,194,446,332,622.0807174887892,0.17040358744394618,0.1031390134529148,0.11210762331838565,0.3430493273542601,0.4349775784753363,mainstream_all,19,2019,4,14,WP19
39,2019-04-18,2019-05-02,13,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2019,4,14,
